23/12/2022 11:32:30:901  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 11:32:31:121  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 11:32:31:521  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 11:32:36:914  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 147852^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:32:38:994  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:32:44:173  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 0852369#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:32:46:206  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:32:46:670  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:datObtenerAiuIVRWS | Framework | datObtenerAiuIVRWS |  |  | 00001018341670247984
23/12/2022 11:33:01:249  INFO - Node Entry | session id:sess396452 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 11:33:01:259  INFO - In Progress | session id:sess396452 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 11:33:01:259  INFO - Application Exit | session id:sess396452 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 11:42:04:190  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 11:42:04:304  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 11:42:04:396  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 11:42:09:032  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 2580^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:42:10:735  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:42:14:469  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 7412#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:42:16:856  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:42:16:965  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:datObtenerAiuIVRWS | Framework | datObtenerAiuIVRWS |  |  | 00001018341670247984
23/12/2022 11:42:31:866  INFO - Node Entry | session id:sess8643947 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 11:42:31:876  INFO - In Progress | session id:sess8643947 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 11:42:31:876  INFO - Application Exit | session id:sess8643947 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 11:43:24:373  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 11:43:24:487  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 11:43:24:579  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 11:43:29:219  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 1478^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:43:30:836  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:43:34:536  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 0856#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:43:36:808  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:43:36:915  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:datObtenerAiuIVRWS | Framework | datObtenerAiuIVRWS |  |  | 00001018341670247984
23/12/2022 11:43:51:814  INFO - Node Entry | session id:sess8514243 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 11:43:51:816  INFO - In Progress | session id:sess8514243 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 11:43:51:817  INFO - Application Exit | session id:sess8514243 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 11:58:37:848  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 11:58:37:947  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 11:58:38:039  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 11:58:42:647  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 1477^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:58:45:301  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:58:49:023  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 11111#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:58:51:285  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 11:58:51:364  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:pruebaWS | Framework | pruebaWS |  |  | 00001018341670247984
23/12/2022 11:59:06:312  INFO - Node Entry | session id:sess4527442 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 11:59:06:316  INFO - In Progress | session id:sess4527442 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
23/12/2022 11:59:06:316  INFO - Application Exit | session id:sess4527442 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | Application Exiting |  |  | 00001018341670247984
23/12/2022 12:12:14:509  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:Start | Framework | Start |  |  | 
23/12/2022 12:12:14:622  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:anuBienvenida | Framework | anuBienvenida |  |  | 00001018341670247984
23/12/2022 12:12:14:898  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:pacDigitaNIT | Framework | pacDigitaNIT |  |  | 00001018341670247984
23/12/2022 12:12:19:495  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:menConfirmaNIT | Framework | menConfirmaNIT | pacDigitaNIT___utterance | 1470^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:12:22:095  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:pacDigitaIdentificacion | Framework | pacDigitaIdentificacion | menConfirmaNIT___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:12:25:816  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:menConfirmaIdent | Framework | menConfirmaIdent | pacDigitaIdentificacion___utterance | 22222#^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:12:27:405  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:insertaDatos | Framework | insertaDatos | menConfirmaIdent___utterance | 1^0.949999988079071^0^0 | 00001018341670247984
23/12/2022 12:12:27:482  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:pruebaWS | Framework | pruebaWS |  |  | 00001018341670247984
23/12/2022 12:12:42:438  INFO - Node Entry | session id:sess7743794 | IVRColmenaARP:AvayaDefaultExitHandler | Framework | AvayaDefaultExitHandler |  |  | 00001018341670247984
23/12/2022 12:12:42:443  INFO - In Progress | session id:sess7743794 | IVRColmenaARP:AvayaDefaultExitHandler | Default Disconnect Handler | Default Exit executed, application exiting |  |  | 00001018341670247984
